board,heuristic,winprob,n
0,0.5283,0.56,200
0,0.42,0.86,200
0,0.3811,0.805,200
0,0.3439,0.49,200
0,0.2925,0.655,200
0,0.2444,0.04,200
0,0.195,0.365,200
0,0.1367,0.16,200
0,0.125,0.04,200
0,0.0,0.01,200
1,0.5089,1.0,200
1,0.3872,0.98,200
1,0.3272,1.0,200
1,0.3117,0.965,200
1,0.2883,0.885,200
1,0.2744,0.88,200
1,0.2206,0.87,200
1,0.195,0.635,200
1,0.1583,0.5,200
1,0.1283,0.695,200
2,0.5853,1.0,200
2,0.3994,1.0,200
2,0.3533,1.0,200
2,0.3339,1.0,200
2,0.2928,1.0,200
2,0.255,1.0,200
2,0.2272,1.0,200
2,0.2133,1.0,200
2,0.1722,1.0,200
2,0.065,1.0,200
3,0.4672,0.02,200
3,0.3811,0.04,200
3,0.3186,0.005,200
3,0.28,0.07,200
3,0.2633,0.27,200
3,0.2133,0.0,200
3,0.1789,0.0,200
3,0.1533,0.005,200
3,0.1292,0.0,200
3,0.03,0.0,200
4,0.4339,0.78,200
4,0.3783,0.54,200
4,0.3567,0.32,200
4,0.3133,0.685,200
4,0.2944,0.34,200
4,0.255,0.53,200
4,0.1722,0.07,200
4,0.1533,0.23,200
4,0.0983,0.07,200
4,0.0,0.03,200
5,0.47,0.615,200
5,0.3839,0.215,200
5,0.3339,0.245,200
5,0.305,0.69,200
5,0.2683,0.115,200
5,0.2342,0.27,200
5,0.2022,0.3,200
5,0.1789,0.095,200
5,0.1283,0.135,200
5,0.0692,0.26,200
6,0.5367,0.475,200
6,0.3867,0.285,200
6,0.3589,0.115,200
6,0.3183,0.13,200
6,0.2711,0.025,200
6,0.2203,0.04,200
6,0.1867,0.06,200
6,0.1667,0.005,200
6,0.1483,0.05,200
6,0.06,0.0,200
7,0.5589,0.61,200
7,0.4228,0.245,200
7,0.3683,0.05,200
7,0.3467,0.045,200
7,0.3078,0.025,200
7,0.2525,0.04,200
7,0.1833,0.0,200
7,0.1733,0.005,200
7,0.17,0.0,200
7,0.0692,0.005,200
8,0.5144,0.97,200
8,0.3839,0.74,200
8,0.3436,0.625,200
8,0.3133,0.68,200
8,0.2806,0.2,200
8,0.2606,0.635,200
8,0.1939,0.62,200
8,0.1439,0.485,200
8,0.1283,0.15,200
8,0.03,0.005,200
9,0.5256,0.705,200
9,0.3939,0.645,200
9,0.3456,0.04,200
9,0.2883,0.2,200
9,0.2675,0.325,200
9,0.2383,0.455,200
9,0.2,0.01,200
9,0.1511,0.075,200
9,0.1275,0.025,200
9,0.06,0.0,200
10,0.5353,0.965,200
10,0.3631,0.905,200
10,0.3506,0.915,200
10,0.3075,0.89,200
10,0.2458,0.84,200
10,0.2322,0.435,200
10,0.2067,0.59,200
10,0.14,0.45,200
10,0.1292,0.695,200
10,0.03,0.15,200
11,0.4922,0.01,200
11,0.4011,0.0,200
11,0.3361,0.0,200
11,0.3217,0.01,200
11,0.2633,0.0,200
11,0.2333,0.0,200
11,0.1867,0.0,200
11,0.1556,0.0,200
11,0.1233,0.0,200
11,0.065,0.0,200
12,0.47,0.915,200
12,0.3547,0.91,200
12,0.2933,0.815,200
12,0.2578,0.97,200
12,0.23,0.975,200
12,0.1939,0.72,200
12,0.1858,0.48,200
12,0.1667,0.54,200
12,0.145,0.375,200
12,0.1061,0.24,200
13,0.5672,1.0,200
13,0.4589,0.99,200
13,0.3767,0.995,200
13,0.3078,0.995,200
13,0.2717,0.995,200
13,0.2356,0.915,200
13,0.2067,1.0,200
13,0.1567,0.92,200
13,0.1292,0.93,200
13,0.0,0.22,200
14,0.5728,1.0,200
14,0.4339,0.995,200
14,0.3622,0.98,200
14,0.2967,0.95,200
14,0.2389,0.935,200
14,0.2333,0.765,200
14,0.1844,1.0,200
14,0.1533,0.875,200
14,0.14,0.895,200
14,0.06,0.775,200
15,0.6131,1.0,200
15,0.3244,0.77,200
15,0.3119,0.935,200
15,0.2508,0.655,200
15,0.2022,0.535,200
15,0.1833,0.6,200
15,0.165,0.47,200
15,0.1275,0.59,200
15,0.1122,0.92,200
15,0.06,0.375,200
16,0.5117,0.645,200
16,0.4672,0.915,200
16,0.4158,0.695,200
16,0.3603,0.575,200
16,0.2856,0.51,200
16,0.2467,0.175,200
16,0.2083,0.27,200
16,0.2,0.25,200
16,0.1367,0.235,200
16,0.1061,0.08,200
17,0.4561,0.195,200
17,0.4067,0.33,200
17,0.3183,0.125,200
17,0.2772,0.02,200
17,0.2567,0.09,200
17,0.2144,0.01,200
17,0.1842,0.14,200
17,0.175,0.03,200
17,0.1233,0.01,200
17,0.06,0.0,200
18,0.5506,0.98,200
18,0.4256,0.755,200
18,0.3789,0.485,200
18,0.3217,0.77,200
18,0.2856,0.5,200
18,0.225,0.105,200
18,0.1942,0.155,200
18,0.1483,0.72,200
18,0.12,0.185,200
18,0.03,0.01,200
19,0.5561,0.8,200
19,0.4122,0.855,200
19,0.3772,0.28,200
19,0.3283,0.815,200
19,0.28,0.59,200
19,0.2683,0.49,200
19,0.2383,0.755,200
19,0.1633,0.215,200
19,0.1422,0.09,200
19,0.06,0.03,200
20,0.4992,0.64,200
20,0.4311,0.705,200
20,0.3244,0.69,200
20,0.3133,0.515,200
20,0.2853,0.365,200
20,0.25,0.31,200
20,0.2089,0.22,200
20,0.1717,0.255,200
20,0.1361,0.125,200
20,0.0,0.045,200
21,0.4964,0.77,200
21,0.4064,0.445,200
21,0.3506,0.6,200
21,0.3244,0.56,200
21,0.2967,0.57,200
21,0.2383,0.46,200
21,0.2111,0.345,200
21,0.1833,0.165,200
21,0.12,0.175,200
21,0.0,0.0,200
